GUID 2200486d57f1442294bbe75b0b290f4b
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 30167

Master_Bundle_Override torpedo.masterbundle
Bundle_Override_Path /Items/Guns/TorpC_Surface

Asset_Bundle_Version 2

Sight 1301
Magazine 30168

Ammo_Min 2
Ammo_Max 2

Semi
Caliber 57216

Firerate 50
Action Rocket

Player_Damage 130
Zombie_Damage 5000
Animal_Damage 5000
Barricade_Damage 3500
Structure_Damage 3500
Vehicle_Damage 10000
Resource_Damage 3000
Object_Damage 3000

Range 60
Explosion 57215

Spread_Aim 0.2
Spread_Hip 0.05

Ballistic_Force 3000

Recoil_Min_X -1
Recoil_Min_Y 1
Recoil_Max_X 1
Recoil_Max_Y 1

Recover_X 1
Recover_Y 1

Reload_Time 8
Turret
